amfi_code,scheme_name,ann_return,ann_std,sharpe_ratio,sharpe_rank
148567,Mirae Asset Large Cap Fund - Regular - Growth,19.054326841061318,12.0062599454546,1.0456,1
120843,Kotak Flexicap Fund - Regular - Growth,19.218167023653983,13.440869824659806,0.9462,2
148569,Mirae Asset Tax Saver Fund - Regular - Growth,20.134270923850615,14.966199879814813,0.911,3
120505,ICICI Pru Midcap Fund - Regular - Growth,21.249855733451827,16.315558522231346,0.904,4
119551,SBI Bluechip Fund - Regular Plan - Growth,16.54010569037093,11.64004192113541,0.8625,5
149323,DSP Midcap Fund - Regular - Growth,19.016628826965945,15.027573485721929,0.8329,6
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,19.677066515043936,16.024369013695356,0.8223,7
118632,Nippon India Large Cap Fund - Regular - Growth,15.61049082853842,11.981688901818071,0.7604,8
119094,Axis Midcap Fund - Regular - Growth,18.56692504533602,16.428850314328713,0.7345,9
120504,ICICI Pru Bluechip Fund - Direct - Growth,15.379330231134544,12.153546743439342,0.7306,10
119598,SBI Small Cap Fund - Regular Plan - Growth,21.884492616033093,21.270679028675683,0.7233,11
149324,DSP Small Cap Fund - Regular - Growth,21.694614319419347,21.020816530417697,0.7228,12
101206,ABSL Frontline Equity Fund - Regular - Growth,15.338630032771194,12.335932580080929,0.7165,13
119552,SBI Bluechip Fund - Direct Plan - Growth,14.444494527137747,11.778708322458037,0.6745,14
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,14.626396619401936,13.048305483638615,0.6228,15
120503,ICICI Pru Bluechip Fund - Regular - Growth,12.510653721961972,11.752249020767886,0.5114,16
125497,HDFC Top 100 Fund - Direct Plan - Growth,12.776366383101074,12.416361106379787,0.5055,17
102885,UTI Nifty 50 Index Fund - Regular - Growth,11.979979891580566,10.858933875216904,0.5047,18
118633,Nippon India Large Cap Fund - Direct - Growth,11.341935057710598,11.830987093791135,0.4093,19
118635,Nippon India ETF Nifty 50 BeES,10.978517176529703,10.98136501534351,0.4078,20
120506,ICICI Pru Value Discovery Fund - Regular - Growth,11.712776310700992,12.88938688346086,0.4044,21
102887,UTI Flexi Cap Fund - Regular - Growth,11.799050118202013,13.32837990052042,0.3976,22
118634,Nippon India Small Cap Fund - Regular - Growth,12.80620086534956,21.35297280161879,0.2953,23
149322,DSP Top 100 Equity Fund - Regular - Growth,9.550554545430899,12.140112020232591,0.2513,24
120841,Kotak Bluechip Fund - Regular - Growth,9.355778473161083,11.392234886875794,0.2507,25
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,8.676056454479166,15.523578006336457,0.1402,26
101207,ABSL Small Cap Fund - Regular - Growth,7.823004042935092,21.81528590597603,0.0606,27
119093,Axis Bluechip Fund - Direct - Growth,5.94999495264116,11.828491754727198,-0.0465,28
120842,Kotak Emerging Equity Fund - Regular - Growth,5.3514571362029715,15.120614266048547,-0.076,29
119092,Axis Bluechip Fund - Regular - Growth,5.0605768503471875,11.79714619883359,-0.122,30
119599,SBI Small Cap Fund - Direct Plan - Growth,3.923250178415074,21.08839942276724,-0.1222,31
119095,Axis Small Cap Fund - Regular - Growth,2.993565018664089,21.18718473352742,-0.1655,32
102886,UTI Mid Cap Fund - Regular - Growth,1.8023290995733694,15.330749677530031,-0.3064,33
100016,HDFC Top 100 Fund - Regular Plan - Growth,2.714621812648736,12.297344489245994,-0.3078,34
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,3.965713310276219,3.3574075731135515,-0.7548,35
118636,Nippon India Gilt Securities Fund - Regular - Growth,3.5843906997115935,3.3717248638243165,-0.8647,36
100025,HDFC Short Term Debt Fund - Regular - Growth,3.121672105739101,3.3018357180259645,-1.0232,37
120507,ICICI Pru Liquid Fund - Regular - Growth,4.818005749743145,0.45955451540135567,-3.6601,38
120844,Kotak Liquid Fund - Regular - Growth,4.613970759957571,0.47137279107046653,-4.0011,39
101208,ABSL Liquid Fund - Regular - Growth,4.3570836936036565,0.4618373909208268,-4.64,40
